;text;label;alasan_kata;name
1;Dengan berbagai cara dia gunakan untuk angkat isu soal Papua di PBB, tujuannya sih Papua merdeka dan pisah dari Indonesia. @AbdViking;neg;pisah;Diah_Latasati
2;Membalas  @mafqcm Antara Uyghur, Kashmir, & West Papua adalah cerita yang sama, ketiga negara induk sama-sama punya masalah pemisahan negara baru & genocide menjadi isu utama.;neg;pemisahan;amiryogi
3; @WahabisLokal Jangan gitu..mungkin ini salah satu pengalihan isu Papua dan Ambon , kita harus cerdas jgn mau di bodohin , apa kalian ga liat di Papua warga di bunuh bahkan bocah 3tahun pun di bunuh;pos;cerdas;feri_js
4;Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…;neg;aneh;HellenaFUN
5; Jangan menggiring isu bahwa konflik di Papua adalah konflik antar etnis/suku. Presiden @jokowi sudah menegaskan kerusuhan…;pos;konflik;Yyak7
6;" ""Ini menggambarkan Pak Jokowi sangat percaya kepada tentara; tapi Pak Jokowi tidak punya kepemimpinan dalam konteks isu keam…";pos;percaya;Endodi328
7;" Dalang dan modus aksi mahasiswa di DPR sama dgn Dalang dan modus aksi demo separatis dan aksi anarkis di Papua 

Bedanya han…";neg;anarkis;MuciSijl
8;"ada pe""anyaan besar bung, tiba tiba isu mahasiswa demo meredup bese""a dengan papua, apakah stasiun televisi telah mendapatkan teguran dari pemerintah ???";pos;teguran;iddowildan
9;Keterlibatan BW di rusuh Papua telah dijelaskan oleh Kapolri Jenderal Tito. BW sengaja mendalangi rusuh Papua dengan harapan isu itu bisa diangkat di forum Komisi Tinggi Hak Asasi Manusia PBB (OHCHR) dan Sidang Majelis Umum PBB pada 23 dan 24 September kemarin.;pos;dijelaskan;MasaiPull
10;"Hari begini masih ada saja oknum2 yg tdk be""anggung jawab yg memotong video saya &amp; menempelnya dgn isu papua saat ini <U+0001F61E><U+0001F631> J…";neg;"tidak be""anggung jawab";Alexand85809763
11;" 1. Hal ini disampaikan Ketua Wilayah @Wa""aNU @ProvPapua; Tony Wanggai bersama jajarannya di Kantor PWNU Provinsi Papua di…";pos;disampaikan;umaremania87
12;Lagi kena senter sama intelijen, berbahaya klo ngasal cuap2 skrng, krna udah ada beberapa pembuktian klo isu Papua adalah setingan SJW sok pahlawan. Kembali ke Kasus Ninoy Karundeng aje. ;pos;berbahaya;FreeThinkerGL
13;: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…;neg;hoax;umaremania87
14; Astaga sedih bgt gw liat berita ginian. makin ga bener pikiran kaum radikal/ekstimis. please stop hoax dan isu provokati…;neg;provokatif;alessiaalle99
15;Faktor Penggerak “Keusilan” Vanuatu dalam Isu Papua Merdeka https://t.co/JJ6j05rRKR https://t.co/4mPK5UdTnU;pos;penggerak;SemarakNews
16;@KanjengRaden_ @DivHumas_Polri Pengalihan isu...urus tu tragedi kemamusiaan yg trjdi di papua dan wamena!!! Yg jls2 memakan korban jiwa;neg;tragedi;Ropihudin3
17;Isu diskriminatif, rasisme, dan pelanggaran Hak Asasi Manusia (HAM) yang disuarakan OPM atau Kelompok Kriminal Separatis Bersenjata (KKSB) saat ada permasalahan di Papua sama sekali tidak punya dasar.;neg;diskriminatif;farlina_vera
18;"Isu Diskriminasi terhadap Papua adalah fitnah

#HoaksIsuDiskrimantifdiPapua https://t.co/yZpI981fg3";neg;fitnah;DeanUrakan
19;Perusahaan dari Indonesia bernama InsightID disebut mengkoordinir penyebaran isu pro-kemerdekaan oleh akun abal-abal tersebut.…;neg;abal-abal;amirudinjamil
20;Isu Diskriminatif Sengaja Digulirkan untuk Memecah Papua dan NKRI #HoaksIsuDiskrimantifdiPapua https://t.co/UrMiG2t8a9;neg;memecah;HaluanKita
21;Guru besar UI: isu diskriminatif. rasisme. dan pelanggaran Hak Asasi Manusia yang disuarakan OPM saat ada permasalahan di Papua sama sekali tidak berdasar. #HoaksIsuDiskrimantifdiPapua;neg;rasisme;indramana003
22;Isu Diskriminatif Sengaja Digulirkan untuk Memecah Papua.#HoaksIsuDiskrimantifdiPapua;neg;diskriminatif;minhyunsc
23;isu diskriminatif. rasisme. dan pelanggaran HAM yang disuarakan Organisasi Papua Merdeka saat ada permasalahan di Papua sama sekali tidak berdasar. #HoaksIsuDiskrimantifdiPapua;neg;pelanggaran;minhyunsc
24;#HoaksIsuDiskrimantifdiPapua Isu yang sengaja digulirkan untuk memecah Papua tersebut juga tidak pernah mendapat respons dari dunia internasional dan Perserikatan Bangsa-Bangsa;pos;tidak ada respon;indramana003
25;https://t.co/Tn22Pqs6DX #HoaksIsuDiskrimantifdiPapua  https://t.co/NBXel0Kczg;neg;hoax, diskriminatif;fakboycoy
26;"Kapolda Papua Angkat Bicara soal Isu Jihad ke Papua hingga TNI/Polri Perkuat Pengamanan Freepo"" https://t.co/MO9et0Leqd";neg;jihad;tribunmedan
27;"Demo di Papua berakhir; waspadai isu SARA! https://t.co/rNIMDKyVDi";pos;waspadai;bhintungka
