label;name;class
Dengan berbagai cara dia gunakan untuk angkat isu soal Papua di PBB, tujuannya sih Papua merdeka dan pisah dari Indonesia. @AbdViking;Diah_Latasati;neg
Membalas  @mafqcm Antara Uyghur, Kashmir, & West Papua adalah cerita yang sama, ketiga negara induk sama-sama punya masalah pemisahan negara baru & genocide menjadi isu utama.;amiryogi;pos
 @WahabisLokal Jangan gitu..mungkin ini salah satu pengalihan isu Papua dan Ambon , kita harus cerdas jgn mau di bodohin , apa kalian ga liat di Papua warga di bunuh bahkan bocah 3tahun pun di bunuh;feri_js;neg
RT @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…;HellenaFUN;pos
RT @rizamsyafiq: Jangan menggiring isu bahwa konflik di Papua adalah konflik antar etnis/suku. Presiden @jokowi sudah menegaskan kerusuhan…;Yyak7;neg
"RT @kompascom: ""Ini menggambarkan Pak Jokowi sangat percaya kepada tentara; tapi Pak Jokowi tidak punya kepemimpinan dalam konteks isu keam…";Endodi328;pos
"RT @AdvokatBS: Dalang dan modus aksi mahasiswa di DPR sama dgn Dalang dan modus aksi demo separatis dan aksi anarkis di Papua 

Bedanya han…";MuciSijl;neg
ada pertanyaan besar bung, tiba tiba isu mahasiswa demo meredup beserta dengan papua, apakah stasiun televisi telah mendapatkan teguran dari pemerintah ???;iddowildan;pos
Keterlibatan BW di rusuh Papua telah dijelaskan oleh Kapolri Jenderal Tito. BW sengaja mendalangi rusuh Papua dengan harapan isu itu bisa diangkat di forum Komisi Tinggi Hak Asasi Manusia PBB (OHCHR) dan Sidang Majelis Umum PBB pada 23 dan 24 September kemarin.;MasaiPull;pos
"RT @MerryRiana: Hari begini masih ada saja oknum2 yg tdk bertanggung jawab yg memotong video saya &amp; menempelnya dgn isu papua saat ini <U+0001F61E><U+0001F631> J…";Alexand85809763;pos
"RT @Jokoembong: 1. Hal ini disampaikan Ketua Wilayah @WartaNU @ProvPapua; Tony Wanggai bersama jajarannya di Kantor PWNU Provinsi Papua di…";umaremania87;pos
Lagi kena senter sama intelijen, berbahaya klo ngasal cuap2 skrng, krna udah ada beberapa pembuktian klo isu Papua adalah setingan SJW sok pahlawan. Kembali ke Kasus Ninoy Karundeng aje. ;FreeThinkerGL;pos
RT @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…;umaremania87;pos
RT @kanyaaputriii: Astaga sedih bgt gw liat berita ginian. makin ga bener pikiran kaum radikal/ekstimis. please stop hoax dan isu provokati…;alessiaalle99;pos
Faktor Penggerak “Keusilan” Vanuatu dalam Isu Papua Merdeka https://t.co/JJ6j05rRKR https://t.co/4mPK5UdTnU;SemarakNews;pos
@KanjengRaden_ @DivHumas_Polri Pengalihan isu...urus tu tragedi kemamusiaan yg trjdi di papua dan wamena!!! Yg jls2 memakan korban jiwa;Ropihudin3;pos
Isu diskriminatif, rasisme, dan pelanggaran Hak Asasi Manusia (HAM) yang disuarakan OPM atau Kelompok Kriminal Separatis Bersenjata (KKSB) saat ada permasalahan di Papua sama sekali tidak punya dasar.;farlina_vera;neg
"Isu Diskriminasi terhadap Papua adalah fitnah

#HoaksIsuDiskrimantifdiPapua https://t.co/yZpI981fg3";DeanUrakan;pos
RT @VICE_ID: Perusahaan dari Indonesia bernama InsightID disebut mengkoordinir penyebaran isu pro-kemerdekaan oleh akun abal-abal tersebut.…;amirudinjamil;neg
Isu Diskriminatif Sengaja Digulirkan untuk Memecah Papua dan NKRI #HoaksIsuDiskrimantifdiPapua https://t.co/UrMiG2t8a9;HaluanKita;neg
Guru besar UI: isu diskriminatif. rasisme. dan pelanggaran Hak Asasi Manusia yang disuarakan OPM saat ada permasalahan di Papua sama sekali tidak berdasar. #HoaksIsuDiskrimantifdiPapua;indramana003;neg
Isu Diskriminatif Sengaja Digulirkan untuk Memecah Papua.#HoaksIsuDiskrimantifdiPapua;minhyunsc;pos
isu diskriminatif. rasisme. dan pelanggaran HAM yang disuarakan Organisasi Papua Merdeka saat ada permasalahan di Papua sama sekali tidak berdasar. #HoaksIsuDiskrimantifdiPapua;minhyunsc;pos
#HoaksIsuDiskrimantifdiPapua Isu yang sengaja digulirkan untuk memecah Papua tersebut juga tidak pernah mendapat respons dari dunia internasional dan Perserikatan Bangsa-Bangsa;indramana003;neg
https://t.co/Tn22Pqs6DX #HoaksIsuDiskrimantifdiPapua  https://t.co/NBXel0Kczg;fakboycoy;pos
Kapolda Papua Angkat Bicara soal Isu Jihad ke Papua hingga TNI/Polri Perkuat Pengamanan Freeport https://t.co/MO9et0Leqd;tribunmedan;neg
"Demo di Papua berakhir; waspadai isu SARA! https://t.co/rNIMDKyVDi";bhintungka;pos
Hikmahanto Juwana: Isu Diskriminatif Papua Dinilai Tidak Mendasar https://t.co/4A36xGRLkO;batas_negeri;pos
RT @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…;AgusRoufLathief;pos
"[VIDEO] Kominfo Polisikan ""Buzzer"" Hoaks Isu Papua Barat https://t.co/1I9hAsgHVJ https://t.co/UPVClvYXYZ";KompasTV;neg
RT @bintangku206: biasanya yang menebar isu ini kelompok maling uang rakyat! Kapolda: Yang Bilang Ada Kelompok Jihad di Papua di Hoax https…;MuciSijl;neg
